한글,로마자표기
강원도,Gangwon-do
강동면,Gangdong-myeon
구정면,Gujeong-myeon
사천면,Sacheon-myeon
성산면,Seongsan-myeon
연곡면,Yeongok-myeon
옥계면,Okgye-myeon
왕산면,Wangsan-myeon
주문진읍,Jumunjin-eup
간성읍,Jumunjin-eup
거진읍,Geojin-eup
수동면,Sudong-myeon
죽왕면,Jukwang-myeon
토성면,Toseong-myeon
현내면,Hyeonnae-myeon
가곡면,Gagok-myeon
근덕면,Geundeok-myeon
노곡면,Nogok-myeon
도계읍,Dogye-eup
미로면,Miro-myeon
신기면,Singi-myeon
원덕읍,Wondeok-eup
하장면,Hajang-myeon
국토정중앙면,Guktojeongjungang-myeon
동면,Dong-myeon
방산면,Bangsan-myeon
양구읍,Yanggu-eup
해안면,Haean-myeon
강현면,Ganghyeon-myeon
서면,Seo-myeon
손양면,Sonyang-myeon
양양읍,Yangyang-eup
현남면,Hyunnam-myeon
현북면,Hyunbuk-myeon
김삿갓면,Gimsatgat-myeon
남면,Nam-myeon
무릉도원면,Mureungdowon-myeon
북면,Buk-myeon
산솔면,Sansol-myeon
상동읍,Sangdong-eup
영월읍,Yeongwol-eup
주천면,Jucheon-myeon
한반도면,Hanbando-myeon
귀래면,Gwirae-myeon
문막읍,Munmak-eup
부론면,Buron-myeon
소초면,Buron-myeon
신림면,Sinrim-myeon
지정면,Jijeong-myeon
판부면,Panbu-myeon
호저면,Hojeo-myeon
흥업면,Heongeop-myeon
기린면,Girin-myeon
북평면,Bukpyeong-myeon
사북읍,Sabuk-eup
신동읍,Sindong-eup
여량면,Yeoryang-myeon
임계면,Imgye-myeon
정선읍,Jeongseon-eup
화암면,Hwaam-myeon
갈말읍,Galmal-eup
근남면,Geunnam-myeon
근동면,Geundong-myeon
근북면,Geunbuk-myeon
김화읍,Gimhwa-eup
동송읍,Gimhwa-eup
서면,Seo-myeon
원남면,Wonnam-myeon
임남면,Imnam-myeon
철원읍,Imnam-myeon
남면,Nam-myeon
남산면,Nam-myeon
동내면,Dongnae-myeon
동면,Dong-myeon
동산면,Dongsan-myeon
북산면,Buksan-myeon
사북면,Sabuk-myeon
서면,Seo-myeon
신동면,Sindong-myeon
신북읍,Sindong-myeon
대관령면,Daegwallyeong-myeon
대화면,Daehwa-myeon
미탄면,Mitan-myeon
방림면,Bangrim-myeon
봉평면,Bongpyeong-myeon
용평면,Yongpyeong-myeon
진부면,Jinbu-myeon
평창읍,Pyeongchang-eup
남면,Nam-myeon
내면,Nam-myeon
내촌면,Naechon-myeon
동면,Naechon-myeon
두촌면,Duchon-myeon
북방면,Bukbang-myeon
서석면,Seoseok-myeon
영귀미면,Yeonggwimi-myeon
홍천읍,Yeonggwimi-myeon
화촌면,Hwachon-myeon
간동면,Gandong-myeon
사내면,Sanae-myeon
상서면,Sanae-myeon
하남면,Hanam-myeon
화천읍,Hwacheon-eup
갑천면,Gapcheon-myeon
강림면,Gangnim-myeon
공근면,Gonggeun-myeon
둔내면,Dunnae-myeon
서원면,Seowon-myeon
안흡면,Seowon-myeon
우천면,Ucheon-myeon
청일면,Ucheon-myeon
횡성읍,Hoengseong-eup
상남면,Sangnam-myeon
서화면,Seohwa-myeon
인제읍,Seohwa-myeon
고한읍,Gohan-eup
원동면,Wondong-myeon
영동고속도로,Yeongdong Expressway
동해고속도로,Donghae Expressway
동해대로,Donghae-daero
강릉대로,Gangneung-daero
경강로,Gyeonggang-ro
노추산로,Nochusan-ro
가작로,Gajak-ro
경포로,Gyeongpo-ro
공제로,Gongje-ro
과학단지로,Gwahakdanji-ro
교동광장로,Gyodonggwangjang-ro
구정중앙로,Gujeongjungang-ro
금성로,Geumseong-ro
금평로,Geumpyeong-ro
난설헌로,Nanseolheon-ro
남부로,Nambu-ro
단경로,Dangyeong-ro
명주로,Myeongju-ro
모산로,Mosan-ro
범일로,Beomil-ro
사임당로,Saimdang-ro
성덕로,Seongdeok-ro
성덕포남로,Seongdeokponam-ro
성연로,Seongyeon-ro
솔올로,Soro
신리천로,Sillicheon-ro
안현로,Anhyeon-ro
연주로,Yeonju-ro
옥가로,Okga-ro
옥계로,Okgye-ro
옥천로,Okcheon-ro
와천로,Wacheon-ro
왕산로,Wangsan-ro
용지로,Yongji-ro
원대로,Wondae-ro
월대산로,Woldaesan-ro
유산로,Yusan-ro
율곡로,Yulgok-ro
임곡로,Imgok-ro
임영로,Imyeong-ro
입암로,Ibam-ro
장성로,Jangseong-ro
정등로,Jeongdeung-ro
정원로,Jeongwon-ro
주문로,Jumun-ro
주문북로,Jumunbuk-ro
중앙동로,Jungangdong-ro
중앙서로,Jungangseo-ro
창해로,Changhae-ro
청파로,Cheongpa-ro
칠성로,Chilseong-ro
토성로,Toseong-ro
풍동로,Pungdong-ro
하슬라로,Haseulla-ro
항구로,Hanggu-ro
해안로,Haean-ro
헌화로,Heonhwa-ro
홍제로,Hongje-ro
화부산로,Hwabusan-ro
회산로,Hoesan-ro
강변로,Gangbyeon-ro
